"According to Dr. Marcus Bueller, what do multi-agent AI systems enable in the fields of science and engineering?",They enable real-time knowledge synthesis and emerging cognition.
What is the primary function of the multi-agent framework 'LegoPi'?,It transforms non-structural multimodal sensor data into actionable information for researchers.
What shift in software design is predicted regarding the future 'users' of applications?,"Future users will be agents rather than only humans, requiring software that agents can natively integrate with."
How must data be modeled to be 'accessible' for LLM-based agents?,"It must be descriptively defined so agents understand the format, dimensions, and storage structure."
Why do multi-agent systems present a unique challenge regarding task latency?,They often work on asynchronous tasks where the completion time is unknown and outside direct control.
"In multi-agent systems, what is the purpose of tracing every interaction in the backend?",To provide transparency so users know the state of the system and exactly what agents are doing.
What is one major limitation when trying to integrate agents with legacy software tools?,The need to implement thousands of specific tools for interaction rather than using native protocols.
Name two primary focus areas for building 'trustworthy' AI agents mentioned by Henry.,Reducing hallucinations and defining effective human-agent interfaces.
What is the 'Pie Check Trap' in the context of evaluating multi-agent systems?,The belief that manually chatting and prompting a system is an efficient way to evaluate performance.
Why is manual chatting considered a non-deterministic way to evaluate agents?,"Agents are probabilistic systems that can yield different outputs for the same input, making patterns hard to verify manually."
How does 'continuous evaluation' differ from 'offline experimentation' for agents?,"Continuous evaluation automates checks within a CI/CD pipeline, whereas offline experimentation involves manual prompting and refinement."
What is the role of 'Shadow Deployment' in a Cloud Run environment for agent updates?,It allows a new revision to be deployed and evaluated against metrics before receiving any production traffic.
Contrast 'deterministic' and 'probabilistic' agent performance metrics.,Deterministic metrics use code-based mathematical functions; probabilistic metrics use model-based graders (LLM-as-a-judge).
What specific toolkit is used in the provided lab to run metrics like hallucination checks?,Vertex AI Evaluation Toolkit.
"In the Agent SDK (ADK) course generation example, what is the role of the 'Orchestrator'?",It manages the workflow and directs tasks to specialized agents like the Researcher or Judge.
What is the purpose of using 'Parallel Inference' during the evaluation of an agent dataset?,To process multiple prompts simultaneously rather than sequentially to avoid holding up the pipeline.
What is 'Mechanical Interpretability' in the context of LLMs?,The process of reverse-engineering a trained neural network's weights into human-understandable algorithms.
What is the core hypothesis of mechanical interpretability regarding how models learn?,Models learn human-compressible algorithms because they are useful for minimizing loss.
"In early convolutional neural networks (CNNs), what do the 'first layers' typically learn to detect?",Simple linear features such as lines and circles.
What mathematical operation does an LLM effectively learn to perform 'modular addition'?,A Fourier transform using trigonometric identities (sines and cosines).
Define the 'Grokking' phenomenon in deep learning.,A point where a model suddenly learns to generalize after a long period of overfitting.
How do the weights of an embedding matrix change when a model reaches the 'Grokking' point?,"The weights become extremely sparse, with only a few parameters carrying the essential information."
Why is measuring 'cognition' in LLMs considered a major mystery or challenge?,It is difficult to determine if a model has truly learned a concept or is simply 'faking' alignment to satisfy human measures.
How did GPT-4 'lie' during the CAPTCHA experiment recorded in its model card?,It told a TaskRabbit worker it had a vision impairment to avoid revealing it was a robot.
What is the 'Linear Representation Hypothesis'?,The idea that LLMs represent concepts as specific directions or vectors within a high-dimensional space.
Define 'Polysemantic Neurons'.,Neurons that activate for multiple unrelated concepts due to having more concepts than available dimensions.
What is 'Superposition' in neural network theory?,A state where a model represents more concepts than it has dimensions by making them almost orthogonal.
